Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1900.0,1947.0,1862.0,1936.0,1936.0,26852
2018-01-03,1942.0,1943.0,1888.0,1907.0,1907.0,21847
2018-01-04,1882.0,1910.0,1836.0,1905.0,1905.0,30322
2018-01-05,1887.0,1904.0,1866.0,1895.0,1895.0,14402
2018-01-08,1885.0,1917.0,1870.0,1914.0,1914.0,21988
2018-01-09,1909.0,1940.0,1891.0,1899.0,1899.0,20729
2018-01-10,1906.0,1956.0,1900.0,1941.0,1941.0,21757
2018-01-11,1950.0,1960.0,1914.0,1928.0,1928.0,19113
2018-01-12,1926.0,1944.0,1894.0,1914.0,1914.0,19823
2018-01-16,1947.0,1951.0,1901.0,1932.0,1932.0,25335
2018-01-17,1929.0,1999.0,1925.0,1985.0,1985.0,32631
2018-01-18,1996.0,2011.0,1972.0,1984.0,1984.0,27063
2018-01-19,1970.0,1970.0,1916.0,1931.0,1931.0,26447
2018-01-22,1939.0,1975.0,1921.0,1938.0,1938.0,19359
2018-01-23,1949.0,1970.0,1923.0,1929.0,1929.0,16983
2018-01-24,1939.0,1964.0,1908.0,1955.0,1955.0,22769
2018-01-25,1953.0,1991.0,1944.0,1960.0,1960.0,18916
2018-01-26,1957.0,1998.0,1950.0,1986.0,1986.0,20215
2018-01-29,1982.0,2004.0,1934.0,1946.0,1946.0,32145
2018-01-30,1944.0,1988.0,1943.0,1970.0,1970.0,24277
2018-01-31,1978.0,2012.0,1974.0,1996.0,1996.0,30072
2018-02-01,1997.0,2037.0,1986.0,2017.0,2017.0,30063
2018-02-02,2030.0,2063.0,2015.0,2059.0,2059.0,32758
2018-02-05,2051.0,2067.0,2034.0,2045.0,2045.0,33513
2018-02-06,2043.0,2058.0,2012.0,2041.0,2041.0,28714
2018-02-07,2049.0,2065.0,1988.0,2013.0,2013.0,34502
2018-02-08,1998.0,2046.0,1997.0,2034.0,2034.0,25219
2018-02-09,2034.0,2039.0,1991.0,2031.0,2031.0,23696
2018-02-12,2029.0,2040.0,1953.0,1970.0,1970.0,14110
2018-02-13,1975.0,2012.0,1966.0,1999.0,1999.0,10541
2018-02-14,2009.0,2098.0,2000.0,2055.0,2055.0,167
2018-02-15,2098.0,2139.0,2077.0,2137.0,2137.0,122
2018-02-16,2141.0,2151.0,2117.0,2138.0,2138.0,0
2018-02-20,2119.0,2132.0,2119.0,2146.0,2146.0,53
2018-02-21,2140.0,2154.0,2140.0,2172.0,2172.0,9
2018-02-22,2149.0,2169.0,2149.0,2156.0,2156.0,208
2018-02-23,2204.0,2204.0,2204.0,2204.0,2204.0,0
2018-02-26,2204.0,2228.0,2203.0,2224.0,2224.0,9
2018-02-27,2214.0,2242.0,2214.0,2239.0,2239.0,114
2018-02-28,2209.0,2210.0,2209.0,2240.0,2240.0,27
2018-03-01,2246.0,2250.0,2245.0,2270.0,2270.0,5
2018-03-02,2320.0,2320.0,2320.0,2320.0,2320.0,6
2018-03-05,2434.0,2438.0,2434.0,2459.0,2459.0,61
2018-03-06,2452.0,2452.0,2451.0,2454.0,2454.0,45
2018-03-07,2444.0,2455.0,2444.0,2456.0,2456.0,25
2018-03-08,2529.0,2529.0,2491.0,2506.0,2506.0,53
2018-03-09,2478.0,2478.0,2478.0,2478.0,2478.0,0
2018-03-12,2565.0,2565.0,2565.0,2565.0,2565.0,150
2018-03-13,2583.0,2587.0,2583.0,2551.0,2551.0,3
2018-03-14,2575.0,2575.0,2575.0,2575.0,2575.0,20178
2018-03-15,2557.0,2571.0,2509.0,2536.0,2536.0,17741
2018-03-16,2536.0,2546.0,2514.0,2522.0,2522.0,15505
2018-03-19,2535.0,2568.0,2439.0,2445.0,2445.0,25324
2018-03-20,2433.0,2516.0,2430.0,2480.0,2480.0,22350
2018-03-21,2500.0,2541.0,2472.0,2524.0,2524.0,18012
2018-03-22,2550.0,2567.0,2506.0,2535.0,2535.0,16097
2018-03-23,2533.0,2636.0,2511.0,2615.0,2615.0,25707
2018-03-26,2612.0,2643.0,2597.0,2629.0,2629.0,15971
2018-03-27,2623.0,2623.0,2534.0,2554.0,2554.0,20383
2018-03-28,2570.0,2603.0,2490.0,2597.0,2597.0,27281
2018-03-29,2581.0,2607.0,2545.0,2556.0,2556.0,24325
2018-04-02,2592.0,2647.0,2546.0,2635.0,2635.0,19762
2018-04-03,2600.0,2606.0,2477.0,2498.0,2498.0,35684
2018-04-04,2471.0,2517.0,2440.0,2475.0,2475.0,33791
2018-04-05,2477.0,2534.0,2433.0,2508.0,2508.0,36863
2018-04-06,2508.0,2516.0,2440.0,2453.0,2453.0,37642
2018-04-09,2455.0,2522.0,2417.0,2502.0,2502.0,28873
2018-04-10,2504.0,2505.0,2450.0,2489.0,2489.0,23951
2018-04-11,2498.0,2560.0,2466.0,2547.0,2547.0,18429
2018-04-12,2535.0,2564.0,2525.0,2542.0,2542.0,14870
2018-04-13,2546.0,2582.0,2536.0,2564.0,2564.0,10216
2018-04-16,2571.0,2712.0,2552.0,2702.0,2702.0,2581
2018-04-17,2692.0,2750.0,2664.0,2728.0,2728.0,485
2018-04-18,2736.0,2825.0,2736.0,2824.0,2824.0,12
2018-04-19,2797.0,2854.0,2797.0,2831.0,2831.0,36
2018-04-20,2805.0,2805.0,2741.0,2749.0,2749.0,11
2018-04-23,2746.0,2746.0,2746.0,2746.0,2746.0,0
2018-04-24,2835.0,2835.0,2835.0,2835.0,2835.0,2
2018-04-25,2875.0,2875.0,2875.0,2856.0,2856.0,1
2018-04-26,2805.0,2811.0,2805.0,2822.0,2822.0,2
2018-04-27,2851.0,2851.0,2851.0,2851.0,2851.0,0
2018-04-30,2845.0,2845.0,2845.0,2845.0,2845.0,0
2018-05-01,2914.0,2914.0,2914.0,2914.0,2914.0,4
