Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,429.25,436.75,429.0,434.75,434.75,31347
2018-01-03,435.5,442.0,435.5,441.0,441.0,41559
2018-01-04,441.5,441.75,436.0,439.75,439.75,26617
2018-01-05,439.25,439.75,433.75,437.5,437.5,24274
2018-01-08,437.5,437.5,431.25,433.25,433.25,32873
2018-01-09,433.25,439.75,431.75,439.0,439.0,31517
2018-01-10,439.0,441.0,437.25,440.5,440.5,30623
2018-01-11,440.25,441.25,435.5,440.25,440.25,25972
2018-01-12,440.25,443.0,424.0,426.25,426.25,61424
2018-01-16,426.25,427.5,420.5,422.0,422.0,30578
2018-01-17,422.25,429.5,421.0,427.0,427.0,22610
2018-01-18,426.75,430.75,426.5,429.5,429.5,17453
2018-01-19,428.75,431.75,425.75,427.5,427.5,18533
2018-01-22,428.25,431.0,426.25,428.5,428.5,20033
2018-01-23,427.25,428.5,422.0,423.25,423.25,26664
2018-01-24,423.75,434.0,421.75,433.0,433.0,42375
2018-01-25,433.0,439.25,430.0,435.0,435.0,34114
2018-01-26,435.0,444.5,434.25,443.0,443.0,32528
2018-01-29,445.0,453.75,445.0,453.0,453.0,44850
2018-01-30,458.0,470.25,457.75,469.75,469.75,81857
2018-01-31,469.0,471.25,463.5,467.25,467.25,68386
2018-02-01,465.75,469.0,457.5,467.0,467.0,60598
2018-02-02,467.25,468.25,462.0,463.25,463.25,45532
2018-02-05,459.75,466.75,454.5,461.75,461.75,59356
2018-02-06,462.5,470.25,459.5,469.0,469.0,32424
2018-02-07,470.0,482.75,469.5,481.0,481.0,59149
2018-02-08,481.0,484.5,468.25,474.5,474.5,47835
2018-02-09,471.5,474.5,465.0,465.5,465.5,59036
2018-02-12,467.25,479.25,466.5,477.5,477.5,53229
2018-02-13,477.25,482.5,473.0,474.5,474.5,52987
2018-02-14,473.75,475.25,468.0,469.75,469.75,25408
2018-02-15,469.75,480.25,468.25,478.0,478.0,34995
2018-02-16,479.5,482.25,473.0,478.5,478.5,26639
2018-02-20,480.0,485.5,470.25,471.75,471.75,39211
2018-02-21,472.0,472.75,463.0,465.75,465.75,30639
2018-02-22,466.5,471.25,460.0,470.75,470.75,18241
2018-02-23,470.5,476.25,468.25,469.0,469.0,18241
2018-02-26,472.5,481.75,472.25,477.75,477.75,21919
2018-02-27,482.0,490.25,481.0,489.0,489.0,21069
2018-02-28,489.0,512.25,489.0,508.25,508.25,2455
2018-03-01,506.75,531.0,506.75,531.0,531.0,505
2018-03-02,531.0,531.0,517.5,522.0,522.0,70
2018-03-05,524.0,533.5,523.75,533.5,533.5,14
2018-03-06,527.75,529.25,520.0,529.25,529.25,58
2018-03-07,525.75,527.25,521.0,521.0,521.0,8
2018-03-08,520.0,520.0,513.75,519.75,519.75,82
2018-03-09,508.0,508.0,508.0,508.0,508.0,2
2018-03-12,506.0,512.75,506.0,509.0,509.0,5
2018-03-13,519.75,519.75,506.75,507.0,507.0,11
2018-03-14,512.0,512.25,511.75,511.75,511.75,23328
2018-03-15,525.25,531.25,513.0,513.5,513.5,23964
2018-03-16,512.25,515.5,498.75,499.5,499.5,35203
2018-03-19,493.0,495.0,469.5,470.25,470.25,65033
2018-03-20,470.25,479.25,467.0,470.0,470.0,35396
2018-03-21,470.0,470.25,458.25,465.5,465.5,33899
2018-03-22,467.5,475.0,463.25,471.0,471.0,30219
2018-03-23,470.0,481.25,464.0,479.25,479.25,28744
2018-03-26,483.0,485.5,467.25,468.25,468.25,27976
2018-03-27,469.5,473.0,463.75,464.0,464.0,23386
2018-03-28,466.5,467.0,457.75,461.0,461.0,19152
2018-03-29,461.25,471.5,456.0,467.25,467.25,27547
2018-04-02,473.5,476.25,466.75,467.5,467.5,24816
2018-04-03,473.5,492.5,471.5,484.75,484.75,38711
2018-04-04,484.25,494.0,473.5,486.0,486.0,33715
2018-04-05,488.5,499.25,487.5,498.5,498.5,28218
2018-04-06,496.5,507.25,491.25,506.75,506.75,38174
2018-04-09,514.25,528.75,511.0,522.75,522.75,34159
2018-04-10,522.5,525.25,513.75,521.75,521.75,39767
2018-04-11,521.5,522.75,509.25,516.75,516.75,34279
2018-04-12,512.75,514.25,501.25,507.5,507.5,30666
2018-04-13,507.0,507.0,490.75,495.75,495.75,29136
2018-04-16,490.0,490.0,477.25,478.0,478.0,27059
2018-04-17,479.0,486.25,476.0,480.5,480.5,14351
2018-04-18,480.5,491.25,479.25,488.75,488.75,19646
2018-04-19,492.0,496.75,489.5,495.25,495.25,14146
2018-04-20,494.25,495.5,481.5,482.75,482.75,14548
2018-04-23,482.75,489.75,480.0,483.25,483.25,16830
2018-04-24,483.0,494.0,477.25,492.5,492.5,17075
2018-04-25,493.0,509.25,493.0,507.0,507.0,18169
2018-04-26,507.25,511.5,493.5,501.75,501.75,13926
2018-04-27,502.0,513.25,500.0,512.25,512.25,11749
2018-04-30,513.75,523.5,512.0,518.5,518.5,2547
2018-05-01,520.0,532.25,513.0,532.25,532.25,982
2018-05-02,535.0,536.25,531.25,535.75,535.75,340
2018-05-03,539.5,547.5,539.5,547.5,547.5,153
2018-05-04,547.0,547.0,535.75,535.75,535.75,273
2018-05-07,531.0,531.0,519.75,519.75,519.75,9
2018-05-08,518.5,518.5,518.5,518.5,518.5,0
2018-05-09,512.0,512.0,512.0,512.0,512.0,1
2018-05-10,507.5,507.5,507.5,507.5,507.5,51
2018-05-11,500.0,503.5,499.5,501.75,501.75,717
2018-05-14,496.75,496.75,496.75,496.75,496.75,27859
2018-05-15,505.75,514.75,502.5,509.75,509.75,27920
2018-05-16,510.0,516.25,508.5,514.0,514.0,20250
2018-05-17,516.0,528.0,514.5,519.0,519.0,22939
2018-05-18,519.0,539.5,516.25,538.75,538.75,28951
2018-05-21,543.0,546.0,525.0,526.5,526.5,28969
2018-05-22,525.0,551.75,522.5,540.5,540.5,37935
2018-05-23,540.5,553.0,536.25,551.75,551.75,35086
2018-05-24,551.75,564.5,548.25,549.0,549.0,48642
2018-05-25,549.5,565.0,547.25,564.0,564.0,27975
2018-05-29,566.0,574.75,553.75,556.5,556.5,38189
2018-05-30,556.0,556.0,536.25,540.75,540.75,31382
2018-05-31,540.0,549.5,533.5,542.5,542.5,26662
2018-06-01,540.25,544.0,532.0,540.75,540.75,32717
2018-06-04,538.0,538.5,518.5,521.5,521.5,33221
2018-06-05,524.25,534.75,522.75,529.0,529.0,36773
2018-06-06,529.25,549.0,527.0,539.75,539.75,31821
2018-06-07,541.5,555.5,540.25,544.5,544.5,42632
2018-06-08,547.0,552.25,533.0,538.25,538.25,55472
2018-06-11,538.25,546.5,531.0,534.75,534.75,40837
2018-06-12,535.5,555.5,530.5,553.5,553.5,42656
2018-06-13,552.75,558.0,536.5,539.0,539.0,44323
2018-06-14,539.0,539.0,520.0,522.25,522.25,29223
2018-06-15,539.0,539.0,506.5,519.75,519.75,29846
2018-06-18,515.0,518.75,499.0,499.5,499.5,26247
2018-06-19,499.25,500.5,471.75,483.0,483.0,32816
2018-06-20,483.0,491.75,478.25,488.75,488.75,20289
