Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,240.75,242.75,238.75,242.5,242.5,342
2018-01-03,243.0,245.25,242.0,244.5,244.5,473
2018-01-04,245.0,246.75,244.5,245.75,245.75,275
2018-01-05,245.5,250.0,245.5,248.5,248.5,417
2018-01-08,249.0,251.25,246.5,250.0,250.0,445
2018-01-09,250.25,252.5,248.0,249.0,249.0,478
2018-01-10,249.0,254.0,247.0,251.0,251.0,402
2018-01-11,251.0,254.25,250.0,250.5,250.5,361
2018-01-12,250.0,252.0,248.75,249.5,249.5,376
2018-01-16,249.25,252.75,249.25,250.0,250.0,197
2018-01-17,250.25,256.0,250.25,254.25,254.25,662
2018-01-18,255.0,261.75,254.0,259.75,259.75,758
2018-01-19,259.0,262.75,257.75,258.0,258.0,461
2018-01-22,258.5,266.0,258.5,265.0,265.0,385
2018-01-23,266.25,274.75,265.25,270.0,270.0,1171
2018-01-24,270.75,278.75,270.0,275.5,275.5,987
2018-01-25,276.0,279.0,259.25,261.0,261.0,1221
2018-01-26,261.0,266.5,256.5,266.0,266.0,552
2018-01-29,265.25,270.5,261.0,269.5,269.5,439
2018-01-30,269.75,272.75,268.75,270.0,270.0,460
2018-01-31,270.25,272.75,258.5,265.5,265.5,857
2018-02-01,265.75,270.0,265.5,267.25,267.25,464
2018-02-02,266.75,269.75,266.0,267.5,267.5,247
2018-02-05,266.5,272.5,266.0,267.25,267.25,414
2018-02-06,266.25,270.75,266.0,269.0,269.0,253
2018-02-07,270.75,274.0,269.0,273.25,273.25,443
2018-02-08,273.75,274.75,266.0,269.5,269.5,666
2018-02-09,269.75,269.75,266.0,266.5,266.5,312
2018-02-12,268.0,275.75,267.0,275.0,275.0,608
2018-02-13,274.75,280.5,272.25,273.5,273.5,507
2018-02-14,273.75,278.0,265.0,265.75,265.75,498
2018-02-15,266.25,269.0,264.0,268.5,268.5,374
2018-02-16,268.5,268.5,265.0,267.75,267.75,253
2018-02-20,267.0,268.5,265.25,266.25,266.25,288
2018-02-21,266.0,266.0,257.25,258.25,258.25,379
2018-02-22,258.0,264.5,256.75,257.75,257.75,284
2018-02-23,257.0,261.25,255.25,260.0,260.0,284
2018-02-26,261.5,263.0,260.25,262.5,262.5,392
2018-02-27,261.0,266.5,259.25,260.0,260.0,160
2018-02-28,264.0,267.25,262.0,263.0,263.0,50
2018-03-01,261.5,269.0,260.0,269.0,269.0,14
2018-03-02,268.75,269.5,264.0,265.0,265.0,8
2018-03-05,263.25,264.75,263.25,264.75,264.75,2
2018-03-06,265.5,265.5,261.25,262.0,262.0,8
2018-03-07,259.5,259.5,259.5,259.5,259.5,0
